"""Munic¡pio"";""02 Procedimentos com finalidade diagnostica"";""03 Procedimentos clinicos"";""04 Procedimentos cirurgicos"";""05 Transplantes de orgaos, tecidos e celulas"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;1890;198;-;2088"
"""110002 ARIQUEMES"";-;3361;2170;-;5531"
"""110003 CABIXI"";-;168;-;-;168"
"""110004 CACOAL"";13;10103;6143;64;16323"
"""110005 CEREJEIRAS"";-;936;225;-;1161"
"""110006 COLORADO DO OESTE"";-;750;95;-;845"
"""110007 CORUMBIARA"";-;34;-;1;35"
"""110008 COSTA MARQUES"";-;280;-;-;280"
"""110009 ESPIGAO D'OESTE"";-;1489;-;-;1489"
"""110010 GUAJARA-MIRIM"";-;1725;1852;-;3577"
"""110011 JARU"";-;1933;1026;-;2959"
"""110012 JI-PARANA"";-;9139;3108;1;12248"
"""110013 MACHADINHO D'OESTE"";-;2692;448;-;3140"
"""110014 NOVA BRASILANDIA D'OESTE"";-;760;275;-;1035"
"""110015 OURO PRETO DO OESTE"";-;1470;1471;-;2941"
"""110018 PIMENTA BUENO"";-;2660;1000;-;3660"
"""110020 PORTO VELHO"";116;27994;20108;251;48469"
"""110025 PRESIDENTE MEDICI"";-;872;289;-;1161"
"""110026 RIO CRESPO"";-;63;-;-;63"
"""110028 ROLIM DE MOURA"";-;2636;1208;-;3844"
"""110029 SANTA LUZIA D'OESTE"";-;498;-;-;498"
"""110030 VILHENA"";-;7691;6049;2;13742"
"""110032 SAO MIGUEL DO GUAPORE"";-;761;403;-;1164"
"""110033 NOVA MAMORE"";-;531;151;-;682"
"""110034 ALVORADA D'OESTE"";-;589;170;-;759"
"""110037 ALTO ALEGRE DOS PARECIS"";-;583;-;-;583"
"""110040 ALTO PARAISO"";-;279;-;-;279"
"""110045 BURITIS"";-;935;370;-;1305"
"""110050 NOVO HORIZONTE DO OESTE"";-;332;-;-;332"
"""110060 CACAULANDIA"";-;68;-;-;68"
"""110070 CAMPO NOVO DE RONDONIA"";-;98;-;-;98"
"""110080 CANDEIAS DO JAMARI"";-;137;-;-;137"
"""110094 CUJUBIM"";-;1019;450;-;1469"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;65;-;-;65"
"""110110 ITAPUA DO OESTE"";-;117;-;-;117"
"""110120 MINISTRO ANDREAZZA"";-;238;-;-;238"
"""110130 MIRANTE DA SERRA"";-;316;-;-;316"
"""110140 MONTE NEGRO"";-;600;247;-;847"
"""110143 NOVA UNIAO"";-;110;-;-;110"
"""110145 PARECIS"";-;544;-;-;544"
"""110146 PIMENTEIRAS DO OESTE"";-;124;-;-;124"
"""110148 SAO FELIPE D'OESTE"";-;100;-;-;100"
"""110149 SAO FRANCISCO DO GUAPORE"";-;1019;540;-;1559"
"""110150 SERINGUEIRAS"";-;475;716;-;1191"
